y_test,logreg_preds,logreg_prob,rf_preds
no,no,0.03156892419510016,no
no,no,0.029085445911578425,no
no,no,0.30642233225752175,no
no,no,0.03447983401986802,no
no,no,0.07105433623184582,no
no,no,0.0511140817136902,no
no,no,0.061790279662680365,no
no,no,0.04393889839914457,no
no,no,0.024444973412930626,no
no,no,0.04272908173669682,no
no,no,0.03163912604350208,no
no,no,0.06674441834594523,yes
no,no,0.029707019969362435,no
no,no,0.09854112203017047,no
no,no,0.0819692809828203,no
no,no,0.029969222465695687,no
no,no,0.06045279314010285,no
no,no,0.033070512901443444,no
no,no,0.10635408734468359,no
no,no,0.10294160889198825,no
no,no,0.07023958309156644,no
no,no,0.06756410878269668,no
no,no,0.03598144853580931,no
no,no,0.047032012589167234,no
no,yes,0.7372435777078669,yes
no,no,0.06427972321469227,no
no,no,0.06990812209982626,no
yes,no,0.14121326596577025,no
no,no,0.038803292092143594,no
no,no,0.2140829617910212,no
no,no,0.05801923254111646,no
no,no,0.03533728375093493,no
no,no,0.056423872966608446,no
yes,no,0.04972120709049466,no
yes,no,0.32870366587463407,no
no,no,0.2579829001507351,no
no,no,0.06194576410844711,no
no,no,0.06720802344240805,no
no,no,0.0803539044460898,no
no,no,0.021488086102909826,no
no,no,0.16649358532165995,no
no,no,0.07827779555578604,no
no,no,0.03760200848880567,no
no,no,0.09750619012397206,no
no,no,0.07221284610859258,yes
no,no,0.03118192433794272,no
no,no,0.02362908921540404,no
no,no,0.056233738809081925,no
no,no,0.05668663400405283,no
no,no,0.03734295630375604,no
no,no,0.06203679377655961,no
no,no,0.0029776586476205342,no
no,no,0.11409744438250988,no
no,no,0.06790350632635686,no
no,no,0.03296583551372046,no
no,no,0.04244656385380385,no
no,no,0.030580663883925756,no
no,no,0.040817783992583595,no
no,no,0.04557704831021874,no
no,no,0.08404318138479193,no
no,no,0.07180795951650897,no
no,no,0.04113715738473059,no
no,no,0.05645108549731096,no
no,no,0.1668206524465959,no
no,no,0.035983136013164066,no
no,no,0.06338427606697994,no
no,no,0.03825318214910463,no
no,no,0.07263565324938268,no
no,no,0.08297885824290814,no
no,no,0.42671451688938633,yes
yes,yes,0.7062351858190907,yes
no,no,0.03049535204393535,no
no,no,0.0603552217149749,no
no,no,0.08048232334065238,no
no,no,0.032336036735638965,no
no,no,0.03478506476976425,no
no,no,0.023045292040276378,no
no,no,0.04016752536584844,no
no,no,0.026930856737144435,no
no,no,0.10130386565412554,no
no,no,0.042991319731469926,no
no,no,0.049342635623704514,no
no,no,0.05312888338967304,no
no,no,0.3980767685174115,no
no,no,0.03376224269554662,no
no,no,0.041131190793387076,no
no,no,0.03373281917371763,no
no,no,0.04017359052251894,no
no,no,0.037538704640767064,no
no,no,0.08190914942809685,no
no,no,0.08498625246266742,no
no,no,0.05153393910492293,no
no,no,0.16193837923055387,no
no,no,0.3476665841205261,no
no,no,0.0626186086878283,no
no,yes,0.6860164280596043,no
no,no,0.05502145183180083,no
no,no,0.04569913802299132,no
no,no,0.04161371263370781,no
yes,no,0.061084551824941366,no
no,no,0.06482760714238323,no
yes,no,0.4579828930463128,no
yes,no,0.2833812928931604,no
yes,no,0.1243089272953292,no
yes,no,0.3976684203490758,no
no,no,0.05996836674988194,no
no,no,0.03823628947119827,no
no,no,0.0417452788814959,no
no,no,0.03147807364567125,no
yes,no,0.041381126672176576,yes
no,no,0.058923620310568275,no
no,no,0.21015073008173143,no
no,no,0.03719177091756172,no
no,no,0.06583405565087841,no
no,no,0.05155993121091939,no
no,no,0.06036819289661549,no
no,no,0.03798910816359326,no
no,no,0.0698992977080145,no
yes,no,0.3092917083543041,yes
no,no,0.03350821156118692,no
no,no,0.0315030591076706,no
no,no,0.06023837873064631,no
yes,yes,0.8565879461832113,yes
no,no,0.19963934765797453,no
no,no,0.06355722029579772,no
no,no,0.019837476037208597,no
yes,no,0.0702881362122133,no
no,no,0.18950418426151786,no
no,no,0.04643724367973635,no
no,no,0.18667513121081525,no
no,no,0.06696827458558621,no
no,no,0.04873245386208296,no
no,no,0.04962925419054989,no
no,no,0.043158881277020195,no
no,no,0.2267864537066609,no
no,no,0.23951982743029718,no
no,no,0.06456940648619647,no
no,no,0.035451373378785685,no
no,no,0.02324494436644111,no
no,no,0.03258055123001513,no
no,no,0.02757484327155494,no
no,no,0.039255740270528514,no
no,no,0.038928974523908706,no
no,no,0.04364386678400493,no
no,no,0.04450108343663013,no
no,no,0.058512112628712525,no
yes,yes,0.8174434820710957,yes
no,no,0.034705500193502443,no
no,no,0.03334007132221126,no
no,no,0.03853757252604478,no
no,no,0.2469853162055691,yes
no,no,0.024714333143982085,no
no,no,0.08457274818633072,no
no,no,0.06483672240195407,no
no,no,0.049949514817669134,no
no,no,0.08330707064477502,no
yes,yes,0.7378542660993285,no
no,no,0.04361241834400555,no
no,no,0.06955845677078563,no
no,no,0.024001790843569494,no
no,no,0.10935516676996573,no
no,no,0.05177853226683702,no
yes,no,0.17337761441487476,no
no,no,0.04224144244712471,no
no,no,0.053353538092870245,no
no,no,0.07685842581114448,no
no,no,0.03507613714087308,no
no,no,0.42595500662531416,yes
no,no,0.07678222815009997,no
yes,no,0.13892962243632484,yes
yes,no,0.20324669167986495,no
yes,no,0.23324407224691954,no
no,no,0.07332808005933611,no
yes,yes,0.6274576206673236,yes
no,no,0.17354263999811334,yes
no,no,0.034672943177175855,no
yes,no,0.01779905573500172,no
no,no,0.07804664325017946,no
no,no,0.053997615989173006,no
no,no,0.16577262552673147,no
no,no,0.07226737391102667,no
no,yes,0.6420256274819249,yes
no,no,0.027374838729819488,no
no,no,0.10642470091378203,no
no,no,0.024009934328405674,no
no,no,0.0979020893663022,no
yes,yes,0.8558488169671846,yes
no,no,0.02739069171159093,no
no,no,0.031512580671552104,no
no,no,0.10492387123733353,no
no,no,0.05064379834378202,no
no,no,0.06576776716637986,no
no,no,0.28994777087979906,no
no,no,0.09324001935331826,no
no,no,0.04014863462498569,no
no,no,0.04534454976548248,no
no,no,0.2997631532963626,no
no,no,0.09428797456475344,no
yes,yes,0.8635763844997163,yes
no,yes,0.7703493756594247,yes
no,no,0.06047646556748165,no
no,no,0.06886442914515066,no
no,no,0.025962006863444093,no
no,no,0.039841008027714266,no
no,no,0.06005602680183532,no
no,no,0.04303850324540847,no
no,no,0.3803067391492199,no
no,no,0.11499430664702645,no
no,no,0.03345244600894569,no
no,no,0.07660259815572301,no
no,no,0.09981154186680137,no
no,no,0.041987389195264534,no
no,no,0.059358504201726676,no
no,no,0.026681160758076656,no
no,no,0.34861607120990035,no
no,no,0.13178378192811666,no
no,no,0.03037841826925374,no
no,no,0.02521863927364699,no
no,no,0.3318832787379496,yes
no,no,0.0458745730223195,no
yes,no,0.02507296969540613,no
no,no,0.03983594349060765,no
no,no,0.04085058802462577,no
no,no,0.10622531547111604,no
no,no,0.031127759574778226,no
yes,no,0.35322690963483083,no
no,no,0.05691563986587157,no
no,no,0.21519378594459052,no
no,no,0.14993136316402936,yes
no,no,0.07287269289791591,no
no,no,0.04344207295609991,no
no,no,0.05294897884826711,no
no,no,0.08843388231699942,no
no,no,0.02800098614332244,no
no,no,0.043706123406986694,no
no,no,0.03534493538250287,no
no,no,0.035653032775337865,no
no,no,0.03560580396319164,no
no,no,0.07503117835526638,no
no,no,0.05719854201630523,no
no,no,0.25622794687742373,no
no,no,0.05880002961943081,no
no,no,0.04015119147596283,no
no,no,0.05757405502055658,no
no,no,0.07707186822505985,no
no,no,0.09506724792904933,no
yes,yes,0.8462289704622462,yes
no,no,0.04642777462641421,no
no,no,0.04827708668561805,no
no,no,0.035643958503631626,no
no,no,0.07960504576083163,no
yes,no,0.08950368056451041,no
no,no,0.4328121763575188,no
no,no,0.2295246176549833,no
no,no,0.05461408697068938,no
no,no,0.19095542234623453,no
yes,yes,0.6575349746398743,yes
no,no,0.05315903603012826,no
yes,no,0.05312011924920153,no
no,no,0.05482966915655622,no
no,no,0.04538216831727062,no
no,no,0.03444726115897409,no
no,no,0.03242080391877137,no
no,no,0.06271086442813364,no
no,no,0.05220290072005123,no
no,no,0.07214556794081739,no
no,no,0.1880555429230387,no
no,no,0.24737195729173544,no
yes,yes,0.6172783560563434,yes
no,no,0.06824107407054249,no
no,no,0.10999235707885636,no
no,no,0.029015065857943754,no
no,no,0.2234077782682819,no
no,no,0.3326689678105417,no
no,no,0.06838986974167603,no
no,no,0.03856801232449254,no
no,no,0.011846324737671611,no
yes,no,0.2168462096576974,yes
no,no,0.03159967814296638,no
no,no,0.44820073341509886,yes
no,no,0.15224344064270132,no
no,no,0.0457322998518455,no
no,no,0.03815321648276622,no
no,no,0.21139208818873917,no
no,no,0.10242061571366659,no
no,no,0.08924613676037783,no
no,no,0.12831652623110815,no
no,no,0.05056798286319028,no
no,no,0.12748087821627116,no
no,no,0.025341666532189017,no
no,no,0.06469643011708905,no
yes,no,0.017309921508375247,no
no,no,0.3419935048587799,no
no,no,0.05752231906903957,no
no,no,0.05882417480948632,no
no,no,0.023576221822422482,no
no,no,0.07857001091684974,no
no,no,0.0688765259102739,no
no,no,0.0701275587118775,no
no,no,0.12244296063423017,no
no,no,0.02902510901943509,no
no,no,0.15428606571860545,no
no,no,0.03478032473898096,no
yes,no,0.031780659344187404,no
no,no,0.03579442834326365,no
no,no,0.04661463668658244,no
no,no,0.06012175389906611,no
no,no,0.05371560792063368,no
no,no,0.04363300905098651,no
no,no,0.06024353034492343,no
yes,no,0.031993743759770134,no
no,no,0.06073891057707719,no
no,no,0.049873434566817414,no
no,no,0.025621168895254492,no
no,no,0.06621100987557836,no
no,no,0.05651255540692163,no
no,no,0.017323323208039518,no
no,no,0.04981360891851436,no
yes,no,0.4599644587797475,no
no,no,0.04157278032411066,no
no,no,0.03325758978705537,no
no,no,0.051676578560081614,no
yes,no,0.40034012650847234,no
no,no,0.05112512386316495,no
no,no,0.03943025690577697,no
no,no,0.20344794504033942,no
no,no,0.07597791932446299,no
no,no,0.07533671377637925,no
no,no,0.05296203601468764,no
no,no,0.07732427562255523,no
no,no,0.04240733868726632,no
no,no,0.3329892921523335,no
no,no,0.05781429204250984,no
yes,yes,0.7206344439652017,yes
no,no,0.08344765263111073,no
no,no,0.023707034969707424,no
no,no,0.31802934869816074,yes
no,no,0.03950312300987054,no
no,no,0.03013163906307618,no
no,no,0.3566137893278842,no
no,no,0.06882488348830773,no
no,no,0.049096797536625984,no
no,no,0.059513394918326044,no
no,no,0.023742580063783356,no
no,no,0.03560558425231511,no
no,no,0.043564008768058035,no
no,no,0.035132216562801806,no
no,no,0.07535979312840464,no
no,no,0.07574933482541225,no
yes,yes,0.8708418186960069,yes
no,no,0.06345445840958067,no
no,no,0.11169132592649546,no
no,no,0.043744146964071424,no
no,no,0.09356882527771918,no
no,no,0.037622189231590754,no
no,no,0.03498028559746634,no
no,no,0.4219480734397533,no
no,no,0.0663209855960438,no
no,no,0.04349334550525143,no
no,no,0.06898460325017845,no
yes,no,0.08151395793170858,no
no,no,0.05686167370079081,no
yes,no,0.2598006714245905,no
no,no,0.05119321298548779,no
no,no,0.10635415124817525,no
no,no,0.04119505805424058,no
no,no,0.05614753290431106,no
no,no,0.06341175533921825,no
no,no,0.03800814480940183,no
no,no,0.03334007132221126,no
no,no,0.06454084550889265,no
no,no,0.10003861127151607,no
no,no,0.046864000547271446,no
no,no,0.05526020631017317,no
no,no,0.04760003169160477,no
no,no,0.02739283339541199,no
no,no,0.39677587906540357,no
no,no,0.0667066218789484,no
no,no,0.0546818696176034,no
no,no,0.07360499494228633,no
no,no,0.029827982403080273,no
no,no,0.044389940110798505,no
no,no,0.030148940226522987,no
no,no,0.041309220869248445,no
no,no,0.04646476120527325,no
no,no,0.06797042478299649,no
no,no,0.1304386141841119,no
no,no,0.05871756148986048,no
no,no,0.3055012532737948,no
no,no,0.0645940719103926,no
no,no,0.07105040821970408,no
no,no,0.06977183737221584,no
no,no,0.039598029520211554,no
no,no,0.07080710025238626,no
no,no,0.06853541667862353,no
no,no,0.06160998426747692,no
yes,no,0.4685411387691287,no
no,no,0.059737223338740285,no
no,no,0.07983030278918654,no
no,no,0.08534118974996914,no
no,no,0.04446283596435079,no
no,no,0.04539941716432447,no
no,no,0.06930260967399347,no
no,no,0.032762124772321946,no
no,no,0.06348208642115688,no
no,no,0.07859068074737995,no
no,no,0.041809408770787364,no
no,no,0.06554467099269959,no
no,no,0.06454863107336367,yes
no,no,0.034965402598939946,no
no,no,0.031074185967907737,no
no,no,0.038089246738710766,no
no,no,0.01610943715261297,no
yes,no,0.09822391709989622,yes
no,no,0.04901543866976641,no
no,no,0.0627119246529364,no
no,no,0.10771641049992481,no
no,no,0.03164294387646889,no
no,no,0.060801013485480754,no
no,no,0.028346253507003275,no
no,no,0.11809015947277533,no
no,no,0.04329853164712763,no
no,no,0.0684289482976891,no
no,no,0.03645261402216455,no
no,no,0.05077351107392132,no
no,no,0.06000485297372417,no
no,no,0.04701094718547522,no
no,no,0.06975286763038079,no
no,no,0.04949455205129964,no
no,no,0.033593442514561075,no
no,no,0.06286640608570694,no
no,no,0.04737572758645619,no
no,no,0.04974576771898886,no
yes,no,0.06083652648436123,no
no,no,0.10440712096981215,no
no,no,0.09826704172247358,no
no,yes,0.8178335496331183,yes
no,no,0.11101876783102814,no
no,no,0.033306190843277496,no
no,no,0.09444322423297634,no
no,no,0.06492581450357118,no
no,no,0.1205403559791533,no
no,no,0.06110972310862259,no
no,no,0.05602342476447431,no
yes,no,0.22538797780573971,no
no,no,0.421684390441791,yes
no,no,0.03362248143332302,no
no,no,0.09203161224418835,no
no,no,0.08093746921016222,no
no,no,0.02236444626187583,no
no,no,0.4447540204159488,yes
no,no,0.4641906859518882,no
no,no,0.04584020410802817,no
no,no,0.033321236688967665,no
no,no,0.034164945082444005,no
no,no,0.03640521761043066,no
no,no,0.045112097547864216,no
no,no,0.05645717202343033,no
no,no,0.0325221236355076,no
no,no,0.038818306123070294,no
no,no,0.041062198987160216,no
no,no,0.03995291107742263,no
no,no,0.027161237180965248,no
no,no,0.02764813098408356,no
no,no,0.03110228391474399,no
no,no,0.0848144176637972,no
no,no,0.02290861897585507,no
yes,no,0.06864448431946414,no
no,no,0.024510152034907983,no
no,no,0.07923192638544362,no
no,no,0.03147637381891522,no
no,no,0.08311944542288834,no
yes,yes,0.7432698780834046,yes
no,no,0.08393283070052404,no
no,no,0.05075503779333165,no
no,no,0.045946974934399205,no
no,no,0.04519103165365815,no
yes,no,0.08442525146005155,no
yes,no,0.04031883799341743,no
no,no,0.02006591772940712,no
no,no,0.12008528824319001,no
no,no,0.07599220364289139,no
no,no,0.03247675411331703,no
no,no,0.02290328272460405,no
no,no,0.032260449773142796,no
no,no,0.06215866531132083,no
no,no,0.15222524808811128,no
no,no,0.0636708570153051,no
no,no,0.028346253507003275,no
no,no,0.0464775242105135,no
no,no,0.38329701200063704,yes
no,no,0.06229300125228031,no
yes,no,0.06939305212153177,no
no,no,0.05561304480261403,no
yes,no,0.08165488149179953,no
no,no,0.058401717271547395,no
no,no,0.37587242487638295,no
no,no,0.030842334936963298,no
no,no,0.028851833711905858,no
no,no,0.10018339088377004,no
yes,no,0.0583643169046966,no
no,yes,0.6918209929688136,no
no,no,0.2051051536583722,no
no,no,0.19673546535166625,no
no,no,0.03477447778239641,no
no,no,0.04958985647023435,no
no,no,0.08031661238653476,no
no,no,0.07466878311179936,no
yes,yes,0.6402452766993326,yes
no,no,0.06526454765829141,no
no,no,0.04261708537777794,no
yes,no,0.1750357464318332,no
yes,no,0.23519682470014938,no
no,no,0.08534118974996914,no
no,no,0.03582232627727107,no
no,no,0.05329532389555514,no
no,no,0.07578068530017544,no
yes,yes,0.6987069585210717,yes
no,no,0.06441638564586841,no
no,no,0.04648357649807171,no
no,no,0.06663760927924509,no
no,no,0.05043194924347247,no
no,no,0.10502092390568478,no
no,no,0.17543805647770508,no
no,no,0.026043895275014925,no
no,no,0.056808963510356414,no
no,no,0.02786322766703074,no
no,no,0.10651868665494715,no
no,no,0.04260018977130403,no
no,no,0.10972450189988961,no
no,no,0.44531766251418436,no
no,no,0.030197596215380058,no
no,no,0.027785529556969505,no
yes,yes,0.7993344478843947,yes
yes,no,0.09797251070777017,no
no,no,0.026694310573686424,no
no,no,0.05779452734263848,no
no,no,0.2524557994538009,no
no,no,0.0973506051783719,no
no,no,0.0764791075029986,no
no,no,0.21172332409178424,no
no,no,0.03386395033481684,no
yes,no,0.4369716029067097,no
no,no,0.04188223402965316,no
no,no,0.26370342956869813,no
no,no,0.03837353548974719,no
no,no,0.3939155333326291,yes
yes,yes,0.7977225578646314,yes
no,no,0.023859647843083743,no
yes,no,0.05766904977686969,no
no,no,0.06550507038874974,no
yes,no,0.4792694275776845,yes
yes,yes,0.6017992623066023,no
yes,no,0.045247897533208466,no
no,no,0.4126905555542557,yes
no,no,0.013666554778484587,no
no,no,0.030088716419191742,no
no,no,0.048814343864043014,no
no,yes,0.5856087047680303,yes
no,no,0.055365747676674425,no
no,no,0.060522591957944356,no
no,no,0.054452618381376695,no
no,no,0.09935265071761984,no
no,no,0.0942885209827955,no
no,no,0.07567706935555941,no
no,no,0.05630246432109924,no
no,no,0.2725291426766382,no
no,no,0.10514330177745373,no
no,no,0.10195786012690047,no
no,no,0.43419027602875065,no
no,no,0.05152301484895487,no
no,no,0.028163151591775404,no
no,no,0.0595301535715196,no
no,no,0.04244994128794191,no
no,no,0.06303901184874658,no
yes,no,0.25632376931504947,no
no,no,0.0337295356742444,no
no,no,0.16352751479124386,yes
yes,no,0.09859525451429671,no
no,no,0.22564407523652208,no
no,no,0.04441493758104759,no
no,no,0.06359806590921188,no
no,no,0.03053325291798307,no
yes,no,0.03673507220323979,no
no,no,0.052139220905433666,no
no,no,0.031122994813975798,no
no,no,0.06359346059290154,no
no,no,0.027654938789830066,no
no,no,0.038561643309118744,no
no,no,0.04359197588445585,no
no,no,0.0387372592453148,no
no,no,0.04020157844027873,no
no,no,0.02893270896134854,no
no,no,0.047408962468029545,no
no,no,0.04565086148352235,no
no,no,0.30825003103804655,no
no,no,0.039838479984218265,no
no,no,0.03738790079455068,no
no,no,0.07002523092811332,no
no,no,0.12942025337163138,no
yes,yes,0.6860262284044657,yes
no,no,0.0318391256553076,no
no,no,0.028885363478963068,no
no,no,0.03736841717696953,no
no,no,0.12367515738312632,no
no,no,0.032897932369401,no
no,no,0.0945129759829469,no
no,no,0.08559950567295713,no
yes,no,0.06778124116170661,no
no,no,0.06592470295868205,no
no,no,0.06858588335005189,no
no,no,0.24259702519794815,no
no,no,0.03504054642686667,no
no,no,0.2064731123390902,yes
no,no,0.028169699031161306,no
no,no,0.07697812133709363,no
no,no,0.05620690943580344,no
yes,no,0.44332607386800305,no
no,no,0.06911352699511111,no
no,no,0.12045563006630508,no
no,no,0.03328070116263246,no
no,no,0.05335931652403436,no
no,no,0.044497344001861276,no
no,no,0.032740923427256936,no
no,no,0.018460410071469636,no
no,no,0.030698647289947114,no
no,no,0.06267415659648351,no
yes,no,0.30663640995787206,no
no,no,0.06770518563369361,no
no,no,0.044739240136405685,no
no,no,0.059010281886483655,no
no,no,0.05584759047541071,no
no,no,0.42587492540445304,yes
no,no,0.08727358444176836,no
no,no,0.025958676230769098,no
no,no,0.18448991422318362,no
no,no,0.05516761801992541,no
no,no,0.04918265527972164,no
no,no,0.03321260321140066,no
no,no,0.04444074040988964,yes
no,no,0.06191021092124647,no
no,no,0.04697264629716755,no
no,no,0.037900618443373925,no
yes,no,0.05774383602186811,no
no,no,0.22569628963987787,no
no,no,0.028745218052944076,no
no,no,0.06209532589070872,no
no,no,0.04967413647075037,no
no,no,0.05561662935502192,no
no,no,0.07876670493324316,no
no,no,0.03976536103328841,no
no,no,0.07661476651590397,no
no,no,0.4488647172591052,yes
no,no,0.01466978042872824,no
no,no,0.0573761646065848,no
no,no,0.27495049264189136,no
no,no,0.07723442527602223,no
no,no,0.03187013332138183,no
no,no,0.06670765161602202,no
no,no,0.09485149274705089,no
no,no,0.03834427136911423,no
no,no,0.07794273229282585,no
no,no,0.04815562656358493,no
no,no,0.06666668007287921,yes
no,no,0.08116111138540592,no
no,no,0.0075048431022124015,no
no,no,0.06024423688299299,no
no,no,0.05218443416391342,no
no,no,0.050564470362175096,no
no,no,0.22609237250633157,no
no,no,0.02958432671829824,no
no,no,0.026686742568654418,no
no,no,0.0920365731328932,yes
no,no,0.4086650617309825,no
no,no,0.06804111556070591,no
no,no,0.03429477393974032,no
yes,no,0.31738443985211995,no
no,no,0.03160445505606435,no
no,no,0.04236036036525765,no
no,no,0.30667144680126757,no
no,no,0.04327664640279109,no
no,no,0.3882751528464162,no
yes,no,0.2627030222807112,no
no,no,0.025249104846599667,no
no,no,0.029088068001864177,no
no,no,0.06368273403001998,no
no,no,0.270637749590835,yes
no,no,0.4314020225630638,yes
no,no,0.059544896859111546,no
no,no,0.03329157722171983,no
no,no,0.048734469061370904,no
no,no,0.06049207342224724,no
no,no,0.026559209774443863,no
no,no,0.0359594378172654,no
no,no,0.03993363235101064,no
no,no,0.10532125575413873,no
no,no,0.024119399780813247,no
no,no,0.06141245850881576,no
no,no,0.0692921888874883,no
no,no,0.0280416688390484,no
no,no,0.03350569985897027,no
yes,no,0.1462348762522741,no
no,no,0.05191398295021303,no
no,no,0.06040531235974037,no
no,no,0.04034059252080117,no
no,no,0.051909965029676805,no
no,no,0.04403349479893808,no
no,no,0.081273144473979,no
no,no,0.025345319082313186,no
no,no,0.04260825469682999,no
no,no,0.06879998441285223,no
no,no,0.05313925448016969,no
no,no,0.23877493915677211,no
no,no,0.05938763957105843,no
no,no,0.04173798099494849,no
no,yes,0.7063560776793153,yes
no,no,0.035216771125890355,no
no,no,0.2833612733710141,no
no,no,0.06142636024846993,no
no,no,0.10030569269670031,no
no,no,0.04041509360817957,no
no,no,0.041959029083588235,no
no,no,0.02858026407264587,no
yes,no,0.33771298523608684,no
no,no,0.07842557487705308,no
no,no,0.027528877706464436,no
no,no,0.02910658806423104,no
no,no,0.1478392169182627,no
no,no,0.07115930195717254,no
no,no,0.030803313660915346,no
no,no,0.0390378124671118,no
no,no,0.0321340430136948,no
no,no,0.23972783093891956,yes
no,no,0.022897658132558455,no
no,no,0.05582530297632997,no
no,no,0.032386915913035046,no
no,no,0.17103900424218513,no
no,no,0.08424891611177163,no
no,yes,0.5320871420345177,no
no,no,0.02738822741966949,no
no,no,0.0431313804605447,no
no,no,0.06045279314010285,no
no,no,0.04282560591951508,no
no,no,0.05339315512698402,no
no,no,0.07183169278713156,no
no,no,0.05789243655364506,no
no,no,0.12231756154702725,no
no,no,0.2121412532662918,no
no,no,0.08192929503746843,no
no,no,0.05848641038694186,no
no,no,0.10007453956415441,no
no,no,0.0655875705802745,no
no,no,0.0418475935133125,no
no,no,0.06105897672017049,no
no,no,0.19292143271136708,no
no,no,0.028405714149494353,no
no,no,0.03218331278497043,no
no,no,0.031133212632838875,no
no,no,0.0386459266006815,no
no,no,0.12620481549722387,no
no,yes,0.7317806837843228,yes
no,no,0.03600437635078072,no
no,no,0.12405165106298963,no
no,no,0.030812342809855117,no
no,no,0.09282880900844367,no
yes,no,0.10340997484610406,no
no,no,0.18608120006474438,no
no,no,0.04739086619222835,no
no,no,0.06661977360177417,no
no,no,0.04775118189573743,no
no,no,0.06489316294216911,no
no,no,0.04429688841576702,no
no,no,0.03979159589072744,no
no,no,0.03521050351793657,no
no,no,0.03520431167500111,no
no,no,0.16989456706231532,no
no,no,0.042140570009843295,no
yes,no,0.0643063894431562,no
no,no,0.03694232829570653,no
yes,yes,0.611419737817406,yes
no,no,0.036313700972395696,no
no,no,0.048779661567152376,no
no,no,0.04943763406340411,no
yes,no,0.06433322790797388,no
no,no,0.10138856913816659,no
no,no,0.0669199616000112,no
no,no,0.029077363733134534,no
no,no,0.4510224782346214,no
no,no,0.23212806131834768,no
yes,yes,0.7618623546429416,yes
no,no,0.033471563176776374,no
no,no,0.05935318132185343,no
no,no,0.07402034817525086,no
no,no,0.038833095566419756,no
no,no,0.09958308354903272,no
no,no,0.08546816975059493,no
no,no,0.04066841662784431,no
no,no,0.2043494063548109,no
no,no,0.03657605037995839,no
no,no,0.03955025974959428,no
no,no,0.038324981922294256,no
no,no,0.033330480385133456,no
no,no,0.0850087128839383,no
no,no,0.03160878857055855,no
no,no,0.05114450096005214,no
no,no,0.0654710556476333,no
no,no,0.018647099319221146,no
no,no,0.07556203471820244,no
no,no,0.02816997412282193,no
no,no,0.02054489982287739,no
no,no,0.29069480233403117,no
no,no,0.032798354404748306,no
no,no,0.11537838262415995,no
yes,no,0.3534435808522401,yes
no,no,0.027111687584913946,no
no,no,0.06247121875881761,no
no,no,0.07760501547148103,no
yes,yes,0.552774759531773,no
no,no,0.04628673762546946,no
no,no,0.41084358182326014,no
no,no,0.1417625692087,no
no,no,0.024772745680516968,no
no,no,0.3605406033708508,no
no,no,0.03192669316024393,no
no,no,0.03085876742413748,no
no,no,0.039439334339741436,no
no,no,0.04603542398489971,no
no,no,0.0488016772277294,no
no,no,0.049926468420888596,no
no,no,0.03717141415058139,no
no,no,0.025074538788012208,no
no,no,0.05591292984711485,no
no,no,0.054065562732832376,no
no,no,0.027340039386309693,no
no,no,0.0958395800940661,no
no,no,0.03855023774477232,no
no,no,0.053658888035175635,no
no,no,0.3209636961119859,no
no,no,0.1033737864865522,no
no,no,0.04518760514839941,no
no,no,0.04178200883056028,no
no,no,0.0736977658401865,no
no,no,0.04059897419860491,no
no,no,0.06604502483397526,no
no,no,0.048073798710773386,no
no,no,0.03611843349032263,no
yes,no,0.07858626118129415,no
no,no,0.0537182575495601,no
yes,no,0.4195425873353462,yes
no,yes,0.6969120276693734,yes
